Questions,Answer
Is this a wrong belief that we have?,"We have been conditioned to believe so, right from childhood. We have grown up with it. But now we need to question our belief system."
"Parents buy things for children or take them out often, believing it makes the child happy.","Absolutely. Today we live in luxurious homes and drive the swankiest cars. We have all the possessions we desired. We have every gadget we wanted. Then why are we still looking for happiness? Shouldn’t the search have ended with all objects of comfort? You name it and we have it all. But we still seem to be searching for that feeling, which the objects of comfort are unable to give. What we have got from them is a comfortable life."
"In the context of the car, the comfort is also not felt when there is a phone call about something unpleasant at home.","Visualize yourself in the car, seated comfortably and enjoying the drive. It is your mind that suddenly creates pain because of the phone call. It is always mind over matter. When the mind is in pain, physical comfort becomes immaterial. My body is comfortable—but ‘I’ am uncomfortable at that moment. I am looking for happiness. So, at that moment the physical comfort does not matter. It could be the other way around too. I may be uncomfortable physically, I may just be sitting cross-legged on the floor, but internally I can feel bliss, and so I feel very comfortable."
How does one get there?,"By understanding that physical comfort is separate from emotional comfort. Suppose I was not able to experience internal comfort—theinternal stability that we call happiness, and I believe if I am physically comfortable, I will be happy. Today, we have started trying to buy happiness. If I buy this and that… the list is never ending—I will be happy. It doesn’t mean we don’t buy things; it just means we don’t associate objects with our being happy. Let’s buy things for their utility or comfort, not for happiness. I need clarity about why I buy something, so that I don’t tell my mind it gives me happiness. If I associate material objects with happiness, then I would only keep postponing happiness by putting new conditions. Suppose I am constructing a house. I tell myself that once the house is built and I shift there, I will be happy. This could take a year or two so I postpone my happiness until a distant future. Think of a child—we look at the child in school and say childhood is the best phase of life, but the child looks at grownups and says they are lucky, for they don’t have projects or exams. The child is looking to be out of school so that he can be happy. He feels he will be very happy when he goes to a college. Then, when he gets into a college, he feels he will be happy once he starts earning… and then marriage and then family…. Even after all that, he feels he can be happy once his children settle well. Few years down the line, the children also settle well and everything is fine. What is his thought now? He feels he will be very happy when he retires. So, when will he actually be happy? He kept postponing happiness to different stages of life, and every time there was a new blank to fill in. This is how we get into a vicious circle: when this happens, I will be happy."
How distressing!,True! And that’s why we are not happy.
We find extremely wealthy individuals owning private aircrafts and million-dollar yachts seeking happiness. How does one put an end to this search?,"First, by understanding that happiness is separate from physical comforts. Second, by understanding that happiness is my internal creation and I can create it irrespective of everything else. I buy a car and then I say I am happy. The car is a physical object with no feelings or emotions. Obviously, the car is not giving me happiness. But what else is? I create the thought: ‘Wow! I bought a car. I finally bought what I wanted.’ These are positive thoughts. Another example is when someone buys a piece of jewellery. Does jewellery give her happiness? Or it is her positive thought she creates about possessing that piece?"
The positive thought cannot be created without the jewellery.,"It means I need an object as a stimulus to create a response. So, it’s theobject, and the object can be anything, like the jewellery set or a car. I look at the object and I create a thought within. So when we acquire an object,our natural response is ‘This is a lovely piece of jewellery that I have just got’. Now who created this thought?"
That’s tricky. Did I create the thought or was it created because of the object?,"A physical piece of jewellery does not have thoughts and feelings. I look at it and I create a thought—’I have bought such a lovely piece of jewellery!’ If somebody walks into the room 10 minutes later and says it is not nice or says it is fake, what happens then? Now who is creating the response? If the stimulus was creating the response, then the stimulus will keep on creating the same response, irrespective of a change in situation. Further, if I show the same piece of jewellery to 10 people, will all of them create the same thoughts? Someone says—It’s too loud. Another may say —I am sorry, I don’t like jewellery. A third friend might say—I love it but I can’t afford it. The piece of jewellery is the same."
My response to the piece is my choice.,"Yes, it is in my thought."
"I am responding, which means I am creating. I am creating either happiness or unhappiness.","We could create thoughts of pleasure or thoughts of jealousy or hurt in response to the same piece of jewellery. The stimulus is the same, the object is the same. If the object were to create the thought, it would create the same thought in everyone. If the object—whether a car, a piece of jewellery, or a lovely garden— is what is creating the thought, then it should create the same thought in every person. Look at the greenery around this place. You may admire nature, while another person may just walk past it without acknowledging its beauty. These are different responses to the same stimulus. The response is the choice of the creator and I am the creator."
I am the creator and I am creating unhappiness or happiness. But how does one do without a stimulus?,"By understanding that I am creating the thought. We were not aware that we are the creators. We believed thoughts come to us because of something outside. If you say something that I believe is rude I get hurt. I may not even realize that I am creating that feeling of hurt. I conveniently say—You hurt me. I think it is all coming from outside. So I expect that you need to speak politely for me to feel better. I wait for you to apologize because once you do that, I would feel better. This is dependency."
Perhaps I would say I never meant that.,But I will still say you hurt me. We can go on telling people—I am hurt because of you… I am angry because of you… I am upset because of you… I am jealous because of you… I am happy because of you.
"If everything is happening because of others, I am not taking personal responsibility.",No responsibility and no control. We live like victims if we are constantly dependent on external circumstances.
Isn’t that a weakness?,"But isn’t that the way we are living? The minute we understand they are not controlling us and we are not dependent on them, we will have a choice. This is independence. The first thing spirituality gives us is freedom. It liberates us from all dependencies, from everything we thought we were dependent on and postponed our happiness. We convinced ourselves that we could not be happy until we had what we wanted."
How I can be happy without having what I want?,"We talked about objects, but what about achievements? We say—‘I wanted to achieve this goal but I haven’t reached there, so how can I be happy?’ We have been brought up to believe that only those achievers can be happy."
"Isn’t it natural? If I fail to get a job three times in a row, isn’t it normal to be unhappy?","I thought that my happiness was dependent on getting a job. I thought it was normal and that’s why getting upset was a normal reaction too. To be tense is normal, to worry is normal, to fear is normal, to be sad is normal, but to feel happy doesn’t come so easily to us. Problems and challenges are bound to arise, but to despair or to face them optimistically is our choice. Situations are outside."
But that external scenario disturbs me internally.,"That’s a choice. Does it disturb everyone? Faced with failure, someone could be upset, someone could commit suicide, and yet another one would say ‘Never mind, let me try again,’ and be successful the next time. Same situation, different responses. That is why my thoughts and feelings are in my control. This understanding will change the way I live."
"Between the moment when something happens and you react, there is hardly any time to choose your response.","That’s why we are living in an automated mode, just as how a machine functions. What’s the difference between a machine and a human being? A machine has no choice. It is dependent on the person operating it. When you press a button, it has to turn on. You press the button again and it has to turn off. That machine has no other choice. But we human beings have a choice. Someone says something to me—they press an emotional button. If I am a machine, I can say ‘obviously I will get angry.’ But I am a human being, so there is no compulsion of an obvious response. I have a choice. Obvious holds good for a machine because it is designed to work in automated ways."
But everybody is living in an automated mode except maybe saints and a few others.,It’s not about saints. It’s all about being aware that we are human beings and we have a choice. People are pressing our emotional buttons but we have a choice.
Do share about the daily meditation you practice. Does that help you to understand the difference between what is happening outside and what you are creating within? The perception is that meditation is about zero thoughts. It’s difficult not to think.,Meditation is not about stopping the thinking process. It is about becoming aware of my thoughts and choosing my thoughts.
How to be aware of what I am thinking?,"Yes, just as we are aware of what we are speaking."
I am not aware.,"You are not speaking in an automated mode. You choose what to speak, you choose your actions—when to sit, when to get up, when to walk, when to sleep. We are choosing our actions, our words. Of course, sometimes the thoughts come racing, so we feel even the words are automated. Sometimes we apologize to people as—‘I didn’t mean to say that.’ The next step will be to become aware of my thoughts, to choose my thoughts and thereby choose my responses. It’s a simple exercise we begin every morning and can do it any time during the day—to just watch our thoughts. Sit back and reflect on these thoughts: What am I thinking right now: it could be about work, about family, about friends, about myself. Let me look at my thoughts… look at myself during the whole day: driving to work, reaching my desk, interacting with people… I am doing everything but I am choosing what to do and I am choosing how to be while I am doing it… I have a choice how to feel while I am doing everything I am doing outside…. Situations, targets, goals, people—they are all external…. Let me look at myself: how I think, how I feel, and then how I respond…. It’s my choice… I am the creator of my response. Om Shanti!"
It is ‘I’ who create my happiness or sadness. I am responsible. How can I be happy if I have not achieved something in life?,"There are two dynamics here: One, if I achieve this, then I will be happy. Second, I will be happy while achieving this. Suppose we are on a journey from X to Y. When we begin the journey, people wish us and say ‘Have a safe journey’. They don’t say ‘Reach your destination in any way.’ It’s not only reaching the destination, it’s the quality of the journey that counts."
"Many of us believe we just have to reach our destination, ‘by hook or by crook’.","Let’s look at it this way. I set a goal for myself, whether marks as a student, as a professional or in my relationships. We set specific goals at every stage, and without goals we become passive. I wouldn’t know where I am heading. The other thing I do is tell myself I will be happy when I reach the goal. The goal may take six months or six years. Suppose I aim at reaching a certain designation at my workplace in the coming two years. I start my journey. I focus on my projects, my performance and my rapport with colleagues. But at the back of my mind is this thought, that only when I reach there, I will be happy. Somewhere down the line if my performance dips a little, or if my colleagues aren’t co-operative, or if any other obstacle comes my way, what happens to me?"
I will not be happy,"I create stress, I create anxiety. Why? Because people are coming in the way of my happiness. I see them as obstacles not just to my goal, but to my happiness. I walk from here to there and my mind says my happiness is there. While I am walking, you are in the way, and because you are in the way I see you as someone standing in the way of my happiness. I might choose to do anything to get you out of the way—If you are a junior, I might order you to work faster. If you are a peer, I might consider you to be a threat, and I can plot against you to get you out of my way. I might even compromise on my values by telling a lie to take a shortcut. This means I begin to think that living by my values and principles can delay my happiness."
"As long as you get happiness, how does it matter if you were to lie?","At this moment we are still on the journey; we haven’t reached the destination yet. While on the journey, I am creating anger and stress, and I am compromising on my values and principles. I am creating negative emotions in the course of my journey. For six months I create anxiety and stress, which in turn can disturb my relationships and create issues with people at work. My emotional turmoil will eventually start affecting my physical health. Finally, when I reach my goal after six months, how will I feel?"
Don’t you think you will be happy?,"I have created all these negative emotions on the way and radiated them emotions to everyone around me. It is like I have fallen down, hurt myself, and by the time I reached there, I am emotionally bruised. But because I have reached there, I am very happy. My conditioning says happiness is dependent on achievements."
You may apologize to family for having late nights or being irritable.,"If you set a six-month goal, for the entire duration you are allowing yourself to get bruised and hurt emotionally."
"We are not just postponing happiness, we are creating unhappiness and multiplying it.","Exactly. In the first six months, to reach (A) I was bruised because I created negative emotions around me, hurt people, lost my temper, whatever. By the time I reach (A), my emotional strength has dipped. Subsequently in going from (A) to (B), I become weaker. It is the same environment, same people, same situations, but a weak me. It means I am going to get bruised further."
Are you referring to emotional strength?,"Yes, my power to face situations. I will get hurt more easily, I will react impulsively, and I will get irritated often."
These behaviors make you physically weak too.,"It’s certainly going to affect the body, but when we are young, we don’t feel the impact. We think it is fine, natural, and the way to live. It takes a few years for the body to start showing symptoms of hypertension, diabetes or other illnesses. Since we accepted stress as a part of life, we also accept physical symptoms and illnesses as inevitable."
"I am still not clear how someone can be happy without achieving goals. He comes home with problems, as a failure.","Let’s say I have been looking for a job for six months. I have not been getting it and so I become demotivated and upset. As a friend, what would you say to me?"
"Don’t worry, such things happen. You will get a job soon.","If I ask how can I not be worried, what will you say?"
"By worrying, will you get it?","Exactly. We just need to say this to ourselves: By worrying, will I get a job?"
Easier said than done.,"But that’s the solution. The more I worry, the weaker my mind becomes. It starts to show in my body language. I lose motivation. I need confidence. I need to be enthusiastic. I need to be ready to seize opportunities. It’s not about what has happened, it’s about what I need to do now—how does my state of being have to be? I have to take care of that without getting trapped in a viciously negative cycle. Who would employ a demotivated individual? Who would like to hire an irritable, weak, intolerant and dispirited employee? Whatever the situation, whatever the challenge, I cannot get a solution unless I take care of myself. If my business is not doing well and I worry, I will still not be able to do any better. If I want to do well outside, I will have to be well within. More importantly: even if I don’t do well, at least I can take care of myself."
My guru told me about a man who was worried about a legal case he was fighting. He was also worried about his wife who was very sick. He won the case after 15 years and even his wife recovered. But he himself fell sick and died.,"It’s about priorities in life. What are my responsibilities? We normally consider family, job, finances, relationships, friends, country…. We can take care of everything else except taking our own responsibility. Let’s say we are a family of five, and four of them are unwell. If I want to be their caretaker, I need to be healthy myself. This is about physical health. The same applies to emotional health—I want to take care of my children, my spouse, my parents. I want to ensure that they are happy. But I cannot do it if I am in pain."
"I even get sad when my children are not able to do well in class. I wanted them to be swimmers, tennis players, and so on.","Why? For their happiness. Finally, I want everyone around me to be happy."
"And if they are happy, I will be happy.","Spirituality teaches us that when I am happy and then take care of them, they will also be happy."
Being happy I radiate my energy. So I can make others happy too.,"Because you make them stronger. Let’s see, what is happiness? Happiness is internal strength. It does not mean excitement. I am not going to be jumping and dancing the whole day. I have lost my job and I am not excited about it."
Happiness is strength?,"At any given point in time, there can only be one thought in our mind. One thought possesses one quality. That one quality could be either the right quality or the not-so-right quality. If I am creating a pure, powerful and positive thought, then it is the right quality. If I am creating a negative thought, an unpleasant thought, a thought of anxiety, pain and worry, it’s a wrong thought. If it’s the right thought I feel good; if it’s not the right thought I feel low. If it’s the right thought, then I feel good and that is stability. If it is not the right thought, I feel low and that is weakness."
"So, stability is strength.","If you are stable, you are strong. This strength will then shape the way you respond to situations. You said, ‘I want my child to have good marks’. But that may not happen every time. When he fails to score the expected marks, or the score he is capable of getting, what is your state of mind? You may get upset. Is that good for you? No. Is that good for the child? No. Then why create it? The marks did not create the feelings; you were its creator."
But I would have thought it was just normal to be upset and feel sad.,"Once I get upset, my child also gets upset and demotivated. I expect him to do well in that demotivated state of mind. The energy that I am giving to those around me is not positive, and that’s why I am not fulfilling my responsibility well. When my child scores less, my first responsibility is to first take charge of my mind. I have to remain composed so that I don’t react impulsively. My next responsibility is to take care of his state of mind. After that I need to calmly explain that he needs to study responsibly and score well the next time."
"We usually do the opposite. We deplete their energy, lower their self-esteem, and belittle them. Today, suicide rate among children is on the rise.","A big reason why a child commits suicide is that he is unable to face his parents after a failure. It is not because he failed, it is because he doesn’t want to see his parents unhappy and he holds himself responsible for their unhappiness. The parents had conditioned and insisted that they would be happy only when he performed well."
"I thought it was my responsibility to ensure my child achieves his goal—whether in studies, sports, or whatever else. But have I been doing the opposite?","Every individual’s life is based on four aspects: physical health, intellectual development, emotional state of being and spiritual health. If I want to be successful and want my children to be successful in life—these four aspects need to be balanced. As my responsibilities towards my child, I consider his academic and extracurricular performances, and I take care of his physical health. I might ensure the best home, the best food, the best comforts. For his social well-being, I expect him to have good friends. But how is my child feeling? We are not focused on that. Physically and academically he may be doing very well, but constant pressure, constant comparison with other children and the constant criticism he gets will deplete his emotional strength. As a parent, I need to ask myself whether I am fulfilling my responsibility. Tomorrow he could grow up to be an excellent doctor or lawyer, and be physically healthy. But if he is emotionally weak, will he be successful? And if he is not resilient, can he be happy?"
What happens if he is not emotionally strong?,"If I am a good doctor, technically I am good. But if I am not emotionally strong, then I will get irritated very easily, I will react easily, I will not empathize with patients or colleagues. I will not get along with people because I am intolerant. Can I still call myself a good doctor? We were all taught how to read, how to write, how to speak. No one taught us how to think."
We knew only about IQ. EQ came into the picture much later.,"IQ is undoubtedly important, but so is emotional strength. An emotionally strong person can handle all struggles and challenges. With a strong IQ, we need emotional strength to be successful."
"Years ago, adults would slap children to discipline them. If they scored less marks, children were sacred to reveal it at home.","Right. We need to ask ourselves whether we are fulfilling all our responsibilities correctly. It is not enough to fulfil just the one responsibility of getting them to perform well. What about our responsibility of making a child resilient? Life is going to present a lot of challenges. Today our child might be a topper, but will marks alone help him face life’s challenges?"
He may be emotionally so weak that he cannot cope with several of life’s situations.,"Exactly. If he has to face even a small failure, he will not be able to cope. What if he has to work with people and he cannot get along? We did not take care of that aspect. Why? Because we had not taken care of that aspect in our own lives. We ignored the importance of being emotionally healthy. We thought our responsibility is to take care of everything external, whether in our lives or the lives of those for whom we were responsible."
Most men consider earning money to be their biggest responsibility.,"They need to check if their family is happy, if they believed happiness comes from outside."
"We provide toys, clothes, food, education. If they don’t study, we blame their sanskaras, their school, or peer pressure. We keep blaming other people.","Because we are not ready to take that responsibility. It’s easy to earn and to send a child to the best school, to give the best food, the best home, and the best of everything. But it’s a huge challenge to make a child emotionally strong."
The most important thing to realise is that first I have to be emotionally strong. Let us do a meditation.,"While taking care of children, we always need to remember, we can send our child to the best school without having gone to school ourselves. We can ensure that our children eat well, even if we sleep on an empty stomach. But it is not possible to make our children happy without being happy ourselves. You cannot make your child emotionally strong without being emotionally strong yourself, so that’s where the responsibility comes —to experience it yourself first. Sit back and reflect on these thoughts: Let us look at the journey of our life… aims, objectives, achievements… milestones to cover… that is my journey… Let me look at myself on the journey… the traveller with the changed consciousness…. Happiness is not at the destination… happiness is my state of being on the journey. I am happy… stable… in control… powerful while I am on the journey…. There are obstacles on the way… but my first responsibility is to take care of my state of being… of the way I respond. This is my responsibility. Om Shanti!"
"My friends mentioned something called the u-stress, which is good stress. They say we need that kind of stress. One of them said he actually waits till he is stressed and is short of time, because then he performs his best.","It’s a belief system. We hear people say—‘Unless there is stress, I will
not perform. If there is no stress I become passive and laid-back.’ They
call it the drive to perform, to achieve. So we need to ask ourselves if it is
true. What is stress and how do I feel when I experience it? Suppose I
suddenly develop a problem in my knee and it starts paining. I continue
walking but do I feel as normal as I felt earlier?"
"No, there is pain now","It’s going to be uncomfortable. However, I say this is okay, or even
accept it as a natural part of ageing. I keep walking and because I am not
treating it or taking care of it, the pain is constantly there and at times gets
aggravated. I am still managing my life, though. If for some reason I need
to run, will I be able to run with that pain? No.
It’s the same with stress. Stress is in my mind; it is a little pain in the
way I feel. How do I feel when I experience stress? Even if I am not able
to check at an emotional level, let’s just check the physical or bodily
parameters—my heartbeat increases and so does my pulse rate, at times
my mouth goes dry, I get an uncomfortable feeling in the stomach, my
head feels heavy, and so on. This means the state of mind has already
taken a toll on the body, and it is a much later stage. Some students fall ill
on the day of their exams, with fever or nausea. Some people start
sweating or their mouth goes dry before speaking in public. This is the
effect of the mind on the body."
"I thought it was normal. The first time I faced a camera, my
mouth went dry.",Could you perform well?
Not at all.,"Let’s say a child has to appear for an exam. Exam is a target and a pressure. If he creates anxiety, can he perform better? When we used to give our exams and later evaluate the performance, we would find instances where we knew an answer but made a mistake. We referred to them as ‘careless mistakes’. I know the answer but I have written something else. This happens because there is not enough clarity, which is a state brought about by the presence of anxiety. It’s not carelessness. It has happened because I did not take care of my mind. So, there is lack of clarity, poor decision-making power, performance is affected, hands tremble, and speed of writing slows down. I may not even finish answering all the questions."
So why do people say they work best when they are stressed or when a deadline is looming?,"Deadline means there is a target, and target could be a pressure. Target
means I have to do this by this time. If there is no target, I may take six
days to complete the same task. The minute you set a target, I start
working faster. Now, while I am working faster, what will happen if I start
creating thoughts along these lines—‘How will I finish it by tomorrow
evening? If I don’t complete it, what will the consequence be? Will I lose
my job? Will my boss hold it against me? What if someone else finishes it
before I do? They will stand a better chance for promotion. My career will
suffer…’
I am still performing, I am still working, but these thoughts are on my
mind. What is going on in the mind is stress. This negativity is stress, and
it is creating an uncomfortable feeling. The target is fine. Two people are
given the same target: they have to finish this job by tomorrow evening,
both are set to achieve it and they will. This means both will reach the
destination, but their journey will be different. The other person may think
‘Yes, I have to achieve this by tomorrow evening. I will focus on it and I
am going to complete it’. So, he reaches the destination with stability,
whereas I reach there stressed. The end result is externally the same, for
both of us have performed, but internally I am totally fatigued. I can
conveniently blame pressure, and not realise that it is my own creation in
the face of pressure.
Stress in science has a simple formula:
stress = pressure ÷ resilience
Pressure, the numerator here, includes what’s coming from outside:
targets, exams, relationships, situations, traffic jams, deadlines, etc.
Resilience is my inner strength to face that pressure.
Consider metal sheets used in industrial applications. Different metal
sheets are subjected to the same amount of pressure, but the stress factor of
every metal is different, because every metal sheet’s power to face that
pressure is different.
Today, in the formula stress = pressure ÷ resilience, we have
conveniently ignored the denominator and embraced the conditioning of
stress = pressure.
The denominator is ignored because I am not ready to take
responsibility for my inner strength. Hence, for me stress = pressure. So I
say, if I have an exam, obviously I will get tensed. If my boss is very
tough, obviously my workplace is going to be a challenge for me."
Do people like to be stressed? Why do we accept it easily?,"When I am not able to tackle it, I just say it’s natural or inevitable."
Does it take effort to not be stressed and be happy in a situation?,Yes. Suppose you say something unpleasant to me. Getting hurt can be so easy for me.
I tend to think it’s so natural to blame others for how we feel.,"It’s summer today; a couple of months later it will be winter. It gets chilly. Do you say it’s natural to fall ill since the weather has changed? No. You use your woollen-wear and protect yourself. We don’t keep blaming the weather, do we? We protect ourselves. Things are going to happen outside but because we have not learnt the mechanism of protecting ourselves, we say it is natural to fall ill, natural to get hurt, natural to get stressed. stress = pressure ÷ resilience Spirituality focusses on the denominator, that is resilience. The pressure or the situation is not in my control. So the numerator is not in my control. In any situation we can attribute 10% to the numerator, but the remaining 90% depends on my power to cope. Because if there is no pressure, then there will be no stress, so we give 10% responsibility to the pressure. The remaining 90% is about the extent I take charge, of how I am going to handle that pressure."
"So, how I react to something is 90%. Suppose somebody damages my car—if it’s an old car, I don’t get very upset. But if it’s a brand new car, I react.","How you react is your choice. Someone has hit your car—the situation was not in your control. Now, you have two ways to respond: 1) Get out of the car, create a scene, shout at him, hit him, abuse him, have him respond in the same manner, and have ten people participate in the scene, or 2) wish him good morning and a nice day."
Another choice is to just smile and say it’s okay. In any case the car is insured.,"Yes. More important is the insurance of the mind. You claim insurance and your car is repaired. But every time a situation arises, for the damage that gets done inside, where is the insurance and where are the repairs?"
I am more concerned that my car is damaged.,"The car is more important than my happiness as per my responsibility list, because I thought the car was my source of happiness. Only when I make my state of being as my priority, will I start taking care of myself. First check if you are fine, then check if everything outside of you is fine."
"If you don’t help yourself, how can you help others? But isn’t this being a bit selfish?","If I don’t take care of myself, can I help you? All my time and energy is spent in taking care of other people. As a result, today we are under stress, and so is our family. Earlier, depression was seen in fewer people, that too in those aged over 60 years. Today children are facing mental health issues and are frequenting counsellors and psychiatrists. If we were fulfilling our responsibilities, this wouldn’t be the result."
"We blame others for being irresponsible, but we need to take responsibility for ourselves.","First I have to be responsible. The ability to respond is responsibility. My ability to respond in every situation is response + ability = responsibility. The irony is we are always trying to control what is not in our control, ignoring what is. We say, ‘My mind is not in my control’, but that is the only thing which obeys us. Let’s go back to the example of two cars bumping into each other. If you suggest to people that they let go of the incident and drive away, they might not agree. They strongly believe it is important to punish the person who was at fault. Even if you explain that it is emotionally damaging for themselves, they do not agree. They will be keen on taking action so that the other person realises his mistake."
Only then he won’t repeat the mistake. I am doing him a favour.,"Can you see that I am more interested in teaching others, rather than taking care of myself? Whether it’s a small situation or a big one, I have a choice of how to respond. Let me just sit back and be aware in every situation. If I just say it’s okay and move on, how will I feel on that day?"
I would feel nice about it.,Because I have conserved energy and conquered my own weakness of reacting. This is to be experimented with.
The other day somebody banged into my car. My driver wanted to take action but I asked him to keep quiet and ignore the incident. I realize I felt nice because I conquered my weakness that had been present for years.,"Also, you had the right thoughts at that moment, so you felt better. If you create a thought that it is okay, it is after all an accident, let me move on now, it’s a positive thought. It creates a good feeling. But if you think, ‘Why wasn’t he careful while driving? Who gave him a driving license? Does he think he owns the road?’—how are you going to feel after that? Our thoughts determine our feelings. After creating such disturbing thoughts, we reach our destination, maybe our workplace."
For how long would this mood and agitation remain?,"Let’s say I drive for 30 minutes to work. So, the mood will stay for that long. The unfortunate part is, within the next 30 minutes, there will be another situation. By that time my emotional immunity is already low. So the chances of me reacting has increased. I reach my office and my receptionist is not at her desk. Yet another situation confronts me. I go to my desk and see that my desk is not cleaned properly. One more situation. My junior has not completed his work; it was supposed to be ready. So, situation after situation unfolds, and I keep reacting. I justify my reactions saying it is because of someone or something."
"Am I not right in blaming? I didn’t do anything but things happened, so my reactions were natural.","By reacting, you are wasting and depleting your energy. You are reducing your emotional strength. When you encounter the next situation, you will be weaker than before."
Over a period it becomes a habit and it takes a toll on health?,"Today we say high blood pressure is natural because we say stress is natural, and the by-product of this stress will also be natural. So everything that was unnatural gets labelled as natural. Yet we say we want happiness."
What is the meaning of ‘unlimited’?,"That which is not dependent on any limited object, people or situation. It’s a state of being which is unlimited, unconditional, and independent. It is free of dependencies and, therefore, free of the fear of failure. Whenever there is dependency on someone or something, the second thought instantly will be of fear—What if I don’t get it? I immediately create fear, and as I create fear, happiness is gone. You will find people fearing happiness too. If everyone is happy, someone at home might say ‘Don’t be so happy, you never know what’s going to happen next.’ People are even scared to be happy today."
Everything is temporary.,"Because we have made it dependent on situations. Right now the situation is favourable, so you are happy. But you don’t know what the next situation is going to bring. But if your happiness is independent of situations, you can be happy 24 x 7."
You think we can be happy 24 x 7,"It’s possible and we can be, but first we have to take care of ourselves and take self-responsibility. If we make happiness dependent on outside factors, it becomes occasional. The more the situations become challenging, the more people’s behaviours become unpredictable. It becomes a struggle and that is when we start accepting stress as natural, whereas it is happiness that is natural."
Thank you so much for explaining how stress is not natural— happiness is. Could we do a brief meditation?,Relax and reflect on these thoughts.
"I read an article in a newspaper; that said ‘Peace feeds happiness. What comes first, peace or happiness? Can you be at peace if you are not happy? The answer to these questions depends on your idea of happiness, on whether you get happiness from external factors or from within’.","Yes, we read and hear about it often, but what happens at the time of practical implementation? We read about the subject every day in the newspaper, in the spiritual literature section or in self-help books. Today the largest-selling books are on the topics of self-help and positivethinking, motivation, self-development and spirituality. Seminars and workshops are organised. Yet, stress, anger and anxiety are on the rise. So unlimited happiness becomes a question mark—even though there is ample knowledge and realization, we are looking for happiness outside. This means we haven’t internalised the knowledge. Instead, we are accepting stress as natural. So there is a wide gap between what I know, what I read, what I believe, and what I implement."
